0/   Common Name,1/   Latin Name,1b/  Genus,1c/  Cultivar (Y/N),1d/  Source,2/  Native Status Tier,3/  Native Status - Basis,22/  Native to (Level II Ecoregion),2/  Slug,3/  Drive Image ID,8/  Category,9/  Habit,10/  Flower,11/  Leaf,"12/  Height, Min (ft)","13/  Height, Max (ft)","14/  Spread, Min (ft)","15/  Spread, Max (ft)",4/  Light Req,5/  Water Req,6/  Soil Req,7/  Zone,24/  Drought Resistant,25/  Low Maintenance,52/  Shade Tolerance [USDA PLANTS],53/  Ellenberg-style L value (1-9) [where available],"50/  Coeff. of Conservatism C (0-10) [Chicago Region FQA, Swink&Wilhelm 1994]",51/  Coeff. of Wetness W (-5..+5) [Chicago Region FQA],16/  Bloom Color,17/  Bloom Time,18/  Fall Leaf Color,19/  Fall Color Time,20/  Attractive Seedhead Time,21/  Garden Attributes,23/  Context,28/  Growth Rate/Lifespan,27/  Summary Blurb,29/  Detailed Description,"30/  Maintenance, General","31/  Maintenance, Late Winter","32/  Maintenance, Early Spring","33/  Maintenance, Mid Spring","34/  Maintenance, Late Spring","35/  Maintenance, Early Summer","36/  Maintenance, Mid Summer","37/  Maintenance, Late Summer","38/  Maintenance, Early Fall","39/  Maintenance, Mid Fall","40/  Maintenance, Late Fall","41/  Maintenance, Winter","43/  [DOC] Pollinators Supported (documented, partial)","44/  [DOC] Pollinator Taxa Count (documented floor, not a census)",45/  [EST] CSR Strategy,46/  [EST] CSR Basis,47/  [REC] Companion - CSR-Matched,48/  [REC] Companion - Site-Matched (Soil/Water/Light),49/  [REC] Companion - Complementary Seasonal Interest,58/  Image - Spring (URL or Drive ID),59/  Image - Summer (URL or Drive ID),60/  Image - Fall (URL or Drive ID),61/  Image - Winter (URL or Drive ID)
Zagreb Thread Leaf Tickseed,Coreopsis verticillata Zagreb,Coreopsis,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,mound,,"fine, thread-like to lanceolate",1,2,1,2,Full sun,Dry to medium,"average to poor, well-drained",4 to 9,TRUE,TRUE,,,,,yellow,June to September,,,September to November,"tickseed, long-blooming, drought-tolerant",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Variegated or Elegantissima Dogwood,Cornus alba Argenteo-marginata,Cornus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,upright shrub,,"ovate, opposite, distinctive venation",6,10,6,10,Full sun to part shade,Medium to wet,"average, medium, well-drained",2 to 7,,TRUE,,,,,,May to June,red to orange,October to November,,"Tartarian dogwood, red stems, variegated cultivars available",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory Halo Tatarian Dogwood,Cornus alba Ivory Halo,Cornus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,upright shrub,,"ovate, opposite, distinctive venation",6,10,6,10,Full sun to part shade,Medium to wet,"average, medium, well-drained",2 to 7,,TRUE,,,,,,May to June,red to orange,October to November,,"Tartarian dogwood, red stems, variegated cultivars available",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Grey Dogwood,Cornus racemosa,Cornus,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,shrub,upright shrub,,coarse,4,10,5,8,Full sun to part shade,average,"loam, clay",3 to 8,,TRUE,Tolerant,,1,-2,white,Late Spring,red to purple,October,,"showy flowers, showy fruit",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Fire Redosier Dogwood,Cornus sericea Arctic Fire (Arctic Fire Red),Cornus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,thicket-forming shrub,,coarse,6,10,6,10,Full sun to part shade,moist,"sand, loam, clay",2 to 7,,TRUE,Intolerant,,,,,Spring,red,October to November,,"showy flowers, fall color, showy fruit",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey Red Twigged Dogwood,Cornus sericea Baileyi,Cornus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,thicket-forming shrub,,coarse,6,10,6,10,Full sun to part shade,moist,"sand, loam, clay",2 to 7,,TRUE,Intolerant,,,,,Spring,red,October to November,,"showy flowers, fall color, showy fruit",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Bergeson Compact Dogwood,Cornus sericea Bergeson Compact,Cornus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,thicket-forming shrub,,coarse,6,10,6,10,Full sun to part shade,moist,"sand, loam, clay",2 to 7,,TRUE,Intolerant,,,,,Spring,red,October to November,,"showy flowers, fall color, showy fruit",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Buds Yellow Redosier Dogwood,Cornus sericea Buds Yellow,Cornus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,thicket-forming shrub,,coarse,6,10,6,10,Full sun to part shade,moist,"sand, loam, clay",2 to 7,,TRUE,Intolerant,,,,,Spring,red,October to November,,"showy flowers, fall color, showy fruit",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinal Redosier Dogwood,Cornus sericea Cardinal,Cornus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,thicket-forming shrub,,coarse,6,10,6,10,Full sun to part shade,moist,"sand, loam, clay",2 to 7,,TRUE,Intolerant,,,,,Spring,red,October to November,,"showy flowers, fall color, showy fruit",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Isanti Redosier Dogwood,Cornus sericea Isanti,Cornus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,thicket-forming shrub,,coarse,6,10,6,10,Full sun to part shade,moist,"sand, loam, clay",2 to 7,,TRUE,Intolerant,,,,,Spring,red,October to November,,"showy flowers, fall color, showy fruit",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey Redosier Dogwood,Cornus sericea Kelseyi,Cornus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,thicket-forming shrub,,coarse,6,10,6,10,Full sun to part shade,moist,"sand, loam, clay",2 to 7,,TRUE,Intolerant,,,,,Spring,red,October to November,,"showy flowers, fall color, showy fruit",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Fire Yellow Redosier Dogwood,Cornus stolonifera SSMNCSBD (Arctic Fire Yellow),Cornus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,thicket-forming shrub,,"ovate, opposite, distinctive venation",6,10,5,8,Full sun to part shade,Medium to wet,"average, medium, well-drained",2 to 7,,TRUE,,,6,-3,,May to June,red,October to November,,"red-twig dogwood (syn. sericea), winter stem color, suckering",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
American Filbert,Corylus americana,Corylus,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,shrub,rounded shrub,,"broad ovate, doubly serrate, alternate, hairy",8,16,10,14,Full sun to part shade,Medium,"average, medium, well-drained",3 to 9,,,,,5,4,yellow (catkins),February to March,yellow to orange,October to November,,"American hazelnut, edible nuts, wildlife food source, fall color",,moderate growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Burgundy Lace European Filbert,Corylus avellana Burgundy Lace,Corylus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"broad ovate, doubly serrate, alternate, hairy",8,16,10,14,Full sun to part shade,Medium,"average, medium, well-drained",3 to 9,,,,,,,,February to March,yellow to orange,October to November,,"hazelnut, edible nuts, wildlife food, fall color",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Lauders Walkingstick,Corylus avellana Contorta,Corylus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"broad ovate, doubly serrate, alternate, hairy",8,16,10,14,Full sun to part shade,Medium,"average, medium, well-drained",3 to 9,,,,,,,,February to March,yellow to orange,October to November,,"hazelnut, edible nuts, wildlife food, fall color",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Red Dragon European Filbert,Corylus avellana Red Dragon,Corylus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"broad ovate, doubly serrate, alternate, hairy",8,16,10,14,Full sun to part shade,Medium,"average, medium, well-drained",3 to 9,,,,,,,,February to March,yellow to orange,October to November,,"hazelnut, edible nuts, wildlife food, fall color",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Prairie Clover,Dalea purpurea,Dalea,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,shrub,upright clump,,"pinnate, small leaflets, aromatic",1,3,1,2,Full sun,Dry to medium,"average to poor, well-drained",3 to 8,TRUE,TRUE,,,,,purple,June to August,,,,"attracts native bees and butterflies, nitrogen fixer",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Butterfly Larkspur,Delphinium Blue Butterfly,Delphinium,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"palmate, deeply cut, green",3,5,1,2,Full sun,Medium,"rich, medium, well-drained",3 to 7,,,,,,,,June to August,,,,"delphinium, tall spires, cottage garden",,moderate growth; short-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Belladonna Larkspur,Delphinium belladonna,Delphinium,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,upright clump,,"palmate, deeply cut, green",3,5,1,2,Full sun,Medium,"rich, medium, well-drained",3 to 7,,,,,,,blue to violet,June to August,,,,"elegant tall spires, cottage garden, cut flower",,moderate growth; short-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Guardian Blue Larkspur,Delphinium elatum Guardian Blue,Delphinium,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"palmate, deeply cut, green",4,6,1,2,Full sun,Medium,"rich, medium, well-drained",3 to 7,,,,,,,,June to August,,,,"tall delphinium, cottage garden, staking required",,moderate growth; short-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Delphinium Highlander Bolero,Delphinium elatum Highlander Bolero,Delphinium,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"palmate, deeply cut, green",4,6,1,2,Full sun,Medium,"rich, medium, well-drained",3 to 7,,,,,,,,June to August,,,,"tall delphinium, cottage garden, staking required",,moderate growth; short-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Fabulosa Larkspur,Delphinium x hybridus Blue Fabulosa,Delphinium,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"palmate, deeply cut, green",3,5,1,2,Full sun,Medium,"rich, medium, well-drained",3 to 7,,,,,,,,June to August,,,,"delphinium, tall spires, cottage garden",,moderate growth; short-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Hayscented Fern,Dennstaedtia punctilobula,Dennstaedtia,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,fern,spreading clump,,"pinnate, fragrant when crushed, light green",1.5,2,3,5,Part shade to full shade,Medium,"average, medium, well-drained",3 to 8,,,,,,,,,,,,"hay-scented fern, fragrant fronds, aggressive spreader",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Tufted Hair Grass,Deschampsia caespitosa,Deschampsia,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,grass,fountain clump,,medium,2,3.4,2,3,Part shade,dry,"sand, loam, clay",3 to 9,,TRUE,Intolerant,,,,yellow,Mid Summer,yellow to gold,October to November,July to October,"shade-tolerant ornamental grass, fine texture",,moderate growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Dew Tufted Hair Grass,Deschampsia caespitosa Goldtau,Deschampsia,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,grass,fountain clump,,medium,2,4,2,3,Part shade,dry,"sand, loam, clay",3 to 9,,TRUE,Intolerant,,,,,Mid Summer,yellow to gold,October to November,July to October,"shade-tolerant ornamental grass, fine texture",,moderate growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Pixie Fountain Tufted Hair Grass,Deschampsia caespitosa Pixie Fountain,Deschampsia,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,grass,fountain clump,,medium,2,4,2,3,Part shade,dry,"sand, loam, clay",3 to 9,,TRUE,Intolerant,,,,,Mid Summer,yellow to gold,October to November,July to October,"shade-tolerant ornamental grass, fine texture",,moderate growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish Tufted Hair Grass,Deschampsia caespitosa Schottland,Deschampsia,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,grass,fountain clump,,medium,2,4,2,3,Part shade,dry,"sand, loam, clay",3 to 9,,TRUE,Intolerant,,,,,Mid Summer,yellow to gold,October to November,July to October,"shade-tolerant ornamental grass, fine texture",,moderate growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Luxuriant Bleeding Heart,Dicentra formosa Luxuriant,Dicentra,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,mound,,fine,1,1.5,1,1.5,Part shade to full shade,dry,"sand, loam, clay",3 to 9,,TRUE,Tolerant,,,,,Early Summer,,,,showy flowers,,rapid growth; short-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Common Bleeding Heart,Dicentra spectabilis,Dicentra,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,mound,,"compound, blue-green, glaucous, finely dissected",1,2,1.5,2,Part shade to full shade,Medium,"rich, moist, well-drained",3 to 9,,TRUE,,,,,pink to white,April to May,,,,"spring ephemeral, goes dormant in summer",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
White Bleeding Heart,Dicentra spectabilis Alba,Dicentra,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,mound,,"compound, blue-green, glaucous, finely dissected",1,2,1.5,2,Part shade to full shade,Medium,"rich, moist, well-drained",3 to 9,,TRUE,,,,,,April to May,,,,"spring ephemeral, goes dormant in summer",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Heart Bleeding Heart,Dicentra spectabilis Gold Heart,Dicentra,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,mound,,"compound, blue-green, glaucous, finely dissected",1,2,1.5,2,Part shade to full shade,Medium,"rich, moist, well-drained",3 to 9,,TRUE,,,,,,April to May,,,,"spring ephemeral, goes dormant in summer",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Kodiak Bush Honeysuckle,Diervilla Kodiak Orange (G2X88544),Diervilla,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate, toothed, yellow-green",2,4,3,4,Full sun to part shade,Dry to medium,"average to poor, well-drained",3 to 7,TRUE,TRUE,,,,,,June to July,red to orange,October to November,,"bush honeysuckle, tough native, yellow flowers, good fall color",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Red Kodiak Bush Diervilla,Diervilla Kodiak Red (G2X885411),Diervilla,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate, toothed, yellow-green",2,4,3,4,Full sun to part shade,Dry to medium,"average to poor, well-drained",3 to 7,TRUE,TRUE,,,,,,June to July,red to orange,October to November,,"bush honeysuckle, tough native, yellow flowers, good fall color",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarf Bush Honeysuckle,Diervilla lonicera,Diervilla,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,shrub,rounded shrub,,"ovate, toothed, yellow-green",2,3,3,4,Full sun to part shade,Dry to medium,"average to poor, well-drained",3 to 7,TRUE,TRUE,,,9,5,yellow,June to July,red to orange,October to November,,"attracts hummingbirds, good fall color, tough native shrub",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Black Kodiak Bush Honeysuckle,Diervilla rivularis Kodiak Black (SMDNDRSF),Diervilla,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate, toothed, yellow-green",2,4,3,4,Full sun to part shade,Dry to medium,"average to poor, well-drained",3 to 7,TRUE,TRUE,,,,,,June to July,red to orange,October to November,,"bush honeysuckle, tough native, yellow flowers, good fall color",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Butterfly Southern Bush Honeysuckle,Diervilla sessilifolia Butterfly,Diervilla,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate, toothed, yellow-green",2,4,3,4,Full sun to part shade,Dry to medium,"average to poor, well-drained",3 to 7,TRUE,TRUE,,,,,,June to July,red to orange,October to November,,"bush honeysuckle, tough native, yellow flowers, good fall color",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Cool Splash Southern Bush Honeysuckle,Diervilla sessilifolia LPDC podaras,Diervilla,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate, toothed, yellow-green",2,4,3,4,Full sun to part shade,Dry to medium,"average to poor, well-drained",3 to 7,TRUE,TRUE,,,,,,June to July,red to orange,October to November,,"bush honeysuckle, tough native, yellow flowers, good fall color",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Nightglow Bush Honeysuckle,Diervilla splendens El Madrigal,Diervilla,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate, toothed, yellow-green",2,4,3,4,Full sun to part shade,Dry to medium,"average to poor, well-drained",3 to 7,TRUE,TRUE,,,,,,June to July,red to orange,October to November,,"bush honeysuckle, tough native, yellow flowers, good fall color",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Kodiak Bush Honeysuckle,Diervilla x splendens SMNDSS (Kodiak Fresh),Diervilla,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate, toothed, yellow-green",2,4,3,4,Full sun to part shade,Dry to medium,"average to poor, well-drained",3 to 7,TRUE,TRUE,,,,,,June to July,red to orange,October to November,,"bush honeysuckle, tough native, yellow flowers, good fall color",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Shooting Star,Dodecatheon meadia,Dodecatheon,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,mound,,"basal rosette, elliptic, smooth, medium green",1,1.5,0.5,1,Part shade to full shade,Medium,"rich, moist, well-drained",3 to 8,,,,,6,3,pink to white,April to May,,,,"spring ephemeral, shooting star",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Shield Fern or Autumn Fern,Dryopteris erythrosora,Dryopteris,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,fern,upright clump,,"bipinnate to pinnate, leathery, dark green",1.5,2,2,2.5,Part shade to full shade,Medium,"average, moist, well-drained",5 to 9,,,,,,,,,,,,"autumn fern, coppery new fronds, semi-evergreen",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Brilliance Autumn Fern,Dryopteris erythrosora Brilliance,Dryopteris,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,fern,upright clump,,"bipinnate to pinnate, leathery, dark green",1.5,2,2,2.5,Part shade to full shade,Medium,"average, moist, well-drained",5 to 9,,,,,,,,,,,,"autumn fern, coppery new fronds, semi-evergreen",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Leatherwood Fern,Dryopteris marginalis,Dryopteris,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,fern,upright clump,,"bipinnate to pinnate, leathery, dark green",1,2,2,3,Part shade to full shade,Medium,"average, medium, well-drained",3 to 8,,,,,10,3,,,,,,"marginal wood fern, evergreen, drought-tolerant once established",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Artisan Soft Orange Coneflower,Echinacea Artisan Soft Orange,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Sangrita Coneflower,Echinacea Balsomita Sombrero Sangrita,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Butterfly Kisses Coneflower,Echinacea Butterfly Kisses,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Pixie Meadowbrite Coneflower,Echinacea CBG Cone 2 (Pixie Meadowbrite),Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne Spirit Coneflower,Echinacea Cheyenne Spirit,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Cleopatra Coneflower,Echinacea Cleopatra,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Papaya Coneflower,Echinacea Hot Papaya,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Drop Coneflower,Echinacea Lemon Drop,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
